Template,Tier,V3 Section,Currently Shipped,Owner,Requires AI Gen,Requires Jurisdiction Selector,Gates
Offer Letter (conditional and unconditional),1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (state),PD->ST->Mike->QA->SHIP
Employment Agreement (full-time/part-time/fixed-term),1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (FT/PT/FT-term + state/prov),PD->ST->Mike->QA->SHIP (TOP PRIORITY per V3)
Independent Contractor Agreement,1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (state misclassification rules),PD->ST->Mike->QA->SHIP
Probationary Period Confirmation Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (Canada heavy),PD->ST->Mike->QA->SHIP
Employment Verification / Reference Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Promotion / Title Change Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Compensation Adjustment Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (state pay equity),PD->ST->Mike->QA->SHIP
Termination Letter — Without Cause,1,Termination & Separation,N,ST# build / LC# review,Y,Y (notice/pay-in-lieu varies),PD->ST->Mike->QA->SHIP
Termination Letter — With Cause,1,Termination & Separation,N,ST# build / LC# review,Y,Y (Canada common-law notice),PD->ST->Mike->QA->SHIP
Separation Agreement / Release of Claims,1,Termination & Separation,N,ST# build / LC# review,Y,Y (OWBPA US / consideration period),PD->ST->Mike->QA->SHIP
Severance Calculation Worksheet,1,Termination & Separation,N,ST# build / LC# review,Y,Y (statutory + common law),PD->ST->Mike->QA->SHIP
Resignation Acceptance Letter,1,Termination & Separation,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Job Abandonment Notice,1,Termination & Separation,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Layoff / Redundancy Notice (individual + group),1,Termination & Separation,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
WARN Act Notice (US fed + state mini-WARN),1,Termination & Separation,N,ST# build / LC# review,Y,Y (CA NY NJ IL etc),PD->ST->Mike->QA->SHIP
